"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6"
"11761806_a_at",6.551854,5.924457,6.116689,5.879441,6.227631,6.397927
"11761807_at",7.321459,7.816465,7.600451,7.477816,7.333867,6.77384
"11761808_a_at",5.877703,5.678179,5.71737,5.576178,6.075254,6.017135
"11761809_at",2.860704,3.031284,2.749104,3.005672,3.057785,3.036204
"11761810_at",4.626085,4.259029,4.49375,4.521578,4.44298,4.53828
"11761811_at",3.54546,3.138398,3.413459,3.395388,3.351072,3.618098
"11761812_at",5.011418,4.837497,5.151126,4.972707,5.145132,5.154518
"11761813_x_at",4.23905,4.240555,3.445589,3.718846,4.040747,4.538497
"11761814_at",2.929372,3.300056,2.91603,2.962631,2.926496,3.210308
"11761815_at",4.910173,4.975114,4.769376,5.356061,5.041905,5.534178
"11761816_at",3.399639,3.625003,3.502353,4.088243,4.010289,3.132522
"11761817_x_at",3.996222,3.883938,3.759332,4.416605,4.427976,3.622968
"11761818_a_at",3.024709,2.747142,2.826735,2.716101,3.383823,3.327391
"11761819_a_at",3.258248,3.490673,3.312062,3.295647,3.343009,3.332216
"11761820_at",4.018639,4.012329,4.020598,4.196682,4.116323,4.160381
"11761821_at",2.767798,2.608832,2.765478,2.637321,3.720921,2.874772
"11761822_at",2.818445,2.556885,2.816985,2.861347,3.086545,2.887759
"11761823_at",2.689848,2.761353,3.026148,2.704464,2.818307,2.685878
"11761824_at",2.601275,2.872483,2.469501,2.797307,2.684146,2.443969
"11761825_x_at",3.646639,4.0791,3.264021,3.962939,3.594562,3.484426
"11761826_x_at",3.423023,3.446854,3.32247,3.514517,3.656346,3.560755
"11761827_x_at",4.398355,4.135587,4.283875,4.177013,4.454245,4.228221
"11761828_at",4.632605,4.436023,4.748088,4.744537,4.606635,4.727962
"11761829_at",3.318336,3.306572,3.319405,3.141891,3.203019,3.356033
"11761830_s_at",5.467153,5.258939,5.275885,5.295203,5.356796,5.471057
"11761831_x_at",5.747356,5.707841,5.838856,5.575406,5.636999,5.893545
"11761832_a_at",5.745471,5.741956,6.195009,5.620631,5.79316,6.089109
"11761833_x_at",5.405494,5.88041,8.319712,5.932104,5.89907,6.334282
"11761834_at",3.303733,3.018116,2.891576,3.177004,3.093688,3.032353
"11761835_at",2.866597,2.998603,3.139919,2.925,2.668539,3.003174
"11761836_x_at",3.05459,3.16762,3.245615,3.068102,2.833271,3.164357
"11761837_at",3.469863,3.429604,3.439105,3.557512,3.479218,3.380348
"11761838_at",2.963147,2.608832,2.757664,2.74577,2.763916,2.689405
"11761839_at",3.118201,3.209038,3.306679,2.887643,3.060522,2.928329
"11761840_at",5.142488,5.15124,5.06949,5.190909,5.364166,5.237146
"11761841_a_at",3.283937,3.784708,3.741219,3.49419,3.369422,3.297209
"11761842_at",4.240758,4.128545,4.138837,3.904179,4.234806,4.21299
"11761843_a_at",2.756946,2.770852,2.851111,2.963392,2.657188,2.638327
"11761844_x_at",3.433241,3.325782,3.605681,3.646631,3.406635,3.505097
"11761845_at",2.805502,3.123646,2.934112,2.884614,3.271861,2.918717
"11761846_x_at",4.77038,4.462326,4.57081,4.209687,4.24353,4.407592
"11761847_x_at",4.597917,4.305447,4.747529,4.521782,4.685794,4.41895
"11761848_at",3.255624,3.22479,3.569705,3.274005,3.267005,3.270855
"11761849_s_at",3.508037,3.497855,3.77975,3.652378,3.543708,3.942665
"11761850_at",4.838338,4.614301,4.95523,4.724753,4.844728,5.039423
"11761851_a_at",4.799403,4.912943,4.866906,5.168495,5.286095,4.859369
"11761852_x_at",4.773058,4.741602,5.041438,4.757587,4.853146,5.087689
"11761853_at",5.051056,4.815257,4.772536,5.266835,5.194967,5.528155
"11761854_x_at",5.051056,5.015065,4.772536,5.328606,5.163248,5.17801
"11761855_x_at",3.548975,3.293165,3.433201,3.641419,3.491756,3.580957
"11761856_x_at",3.994294,4.096028,3.932062,3.832089,4.080925,3.882605
"11761857_at",4.047869,3.814476,4.00417,3.691149,3.960748,3.727774
"11761858_x_at",6.212068,5.574197,5.968502,6.174592,6.338499,5.892321
"11761859_a_at",3.765356,3.499078,3.637802,3.571143,3.800691,3.58411
"11761860_x_at",5.645945,5.095034,5.284355,5.45478,5.557858,5.415992
